,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
get,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,
bullock,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,
moment,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,,,,,,,,,,,,,,,,
secret,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,
incom,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,
hand,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,
appoint,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,,,,,,,,,,,,,,,,,,,
card,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,,,,,,,,,,,,,,,,
english,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,
must,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,
unoffici,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
simla,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,,,,,,,,,
god,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,
saw,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,
mistak,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,,,,,,,,,,,,,,,,,,
except,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,
distinguish,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,
variou,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
read,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,,,,,,,,,,,,,,,,,,,
show,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,,,,
credit,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,
would,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt
stay,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,,,,,,,,,,,,,,,,,
floor,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,,,,,,,,,,,,,,,,,,,,,,
could,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,
